tile,clip_id,source,error,striker_ok,pose_ok
382,cs10k_pull_pull-vid470-20,cricshot10k,keeper,0,0
383,cs10k_pull_pull-vid472-46,cricshot10k,,1,1
384,cs10k_square-cut_square-cut-vid115-23,cricshot10k,,1,1
385,cs10k_square-cut_square-cut-vid119-20,cricshot10k,,1,1
386,cs10k_square-cut_square-cut-vid507-28,cricshot10k,,1,1
387,cs10k_square-cut_square-cut-vid510-11,cricshot10k,,1,1
388,cs10k_sweep_sweep-vid263-4,cricshot10k,,1,1
389,cs10k_sweep_sweep-vid281-2,cricshot10k,,1,1
390,cs10k_upper-cut_upper-cut-vid232-4,cricshot10k,,1,1
391,cs10k_upper-cut_upper-cut-vid248-45,cricshot10k,slip fielder,0,0
392,ipl_flick_flick-25-kkr-srh-flick-1,ipl2023,,1,1
393,ipl_flick_flick-27-rcb-dc-flick-3,ipl2023,,1,1
394,ipl_pull_pull-9-rr-mi-pull-5,ipl2023,,1,1
395,ipl_slog_slog-10-gt-dc-slog-6,ipl2023,,1,1
396,ku_defensive-shot_defensive-shot-8,kucricshot,,1,1
397,ku_defensive-shot_defensive-shot-89,kucricshot,,1,1
398,ku_pull-shot_pull-shot-214,kucricshot,,1,1
399,ku_pull-shot_pull-shot-224,kucricshot,,1,1
